,region,average volume
0,Albany,47538
1,Atlanta,262145
2,BaltimoreWashington,398562
3,Boise,42643
4,Boston,287793
5,BuffaloRochester,67936
6,California,3044324
7,Charlotte,105194
8,Chicago,395569
9,CincinnatiDayton,131722
10,Columbus,88738
11,DallasFtWorth,616625
12,Denver,410954
13,Detroit,187640
14,GrandRapids,89384
15,GreatLakes,1744505
16,HarrisburgScranton,123695
17,HartfordSpringfield,149913
18,Houston,601088
19,Indianapolis,89537
20,Jacksonville,85178
21,LasVegas,160878
22,LosAngeles,1502653
23,Louisville,47624
24,MiamiFtLauderdale,288974
25,Midsouth,1503992
26,Nashville,105361
27,NewOrleansMobile,135193
28,NewYork,712231
29,Northeast,2110299
30,NorthernNewEngland,211636
31,Orlando,173552
32,Philadelphia,212541
33,PhoenixTucson,578826
34,Pittsburgh,55640
35,Plains,920676
36,Portland,327078
37,RaleighGreensboro,142612
38,RichmondNorfolk,124943
39,Roanoke,74089
40,Sacramento,222378
41,SanDiego,265657
42,SanFrancisco,401864
43,Seattle,323119
44,SouthCarolina,179745
45,SouthCentral,2991952
46,Southeast,1820232
47,Spokane,46051
48,StLouis,94890
49,Syracuse,32375
50,Tampa,195280
51,TotalUS,17351302
52,West,3215323
53,WestTexNewMexico,431408
